nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,11,0.31,"[<ptreeopt.tree.PTree object at 0x155520ee2ca0>
 <ptreeopt.tree.PTree object at 0x155520ee2460>
 <ptreeopt.tree.PTree object at 0x155520ee2580>]",3,0,3,10
200,23,0.31,"[<ptreeopt.tree.PTree object at 0x155520ee2ca0>
 <ptreeopt.tree.PTree object at 0x155520ee2460>
 <ptreeopt.tree.PTree object at 0x155520ee2580>]",3,0,3,10
300,36,0.25,"[<ptreeopt.tree.PTree object at 0x155520ee2a90>
 <ptreeopt.tree.PTree object at 0x155520ee29d0>
 <ptreeopt.tree.PTree object at 0x155520ee2d60>]",3,0,3,10
400,47,0.25,"[<ptreeopt.tree.PTree object at 0x155520ee2a90>
 <ptreeopt.tree.PTree object at 0x155520ee29d0>
 <ptreeopt.tree.PTree object at 0x155520ee2d60>]",3,0,3,10
500,59,0.25,"[<ptreeopt.tree.PTree object at 0x155520ee2a90>
 <ptreeopt.tree.PTree object at 0x155520ee29d0>
 <ptreeopt.tree.PTree object at 0x155520ee2d60>]",3,0,3,10
600,72,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
700,83,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
800,95,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
900,107,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
1000,120,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
1100,132,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
1200,144,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
1300,156,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
1400,169,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
1500,181,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
1600,192,0.23,"[<ptreeopt.tree.PTree object at 0x155516257040>
 <ptreeopt.tree.PTree object at 0x155516257f10>
 <ptreeopt.tree.PTree object at 0x155516257a30>]",3,0,3,10
