nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,49,0.33,"[<ptreeopt.tree.PTree object at 0x1555150942e0>
 <ptreeopt.tree.PTree object at 0x155515094850>
 <ptreeopt.tree.PTree object at 0x155515094a60>
 <ptreeopt.tree.PTree object at 0x155520631430>
 <ptreeopt.tree.PTree object at 0x155520631df0>
 <ptreeopt.tree.PTree object at 0x155520631e20>
 <ptreeopt.tree.PTree object at 0x15551528c100>
 <ptreeopt.tree.PTree object at 0x15551528c7c0>
 <ptreeopt.tree.PTree object at 0x15551528cee0>
 <ptreeopt.tree.PTree object at 0x155520649e80>]",1,0,10,10
200,97,0.33,"[<ptreeopt.tree.PTree object at 0x1555150942e0>
 <ptreeopt.tree.PTree object at 0x155515094850>
 <ptreeopt.tree.PTree object at 0x155515094a60>
 <ptreeopt.tree.PTree object at 0x155520631430>
 <ptreeopt.tree.PTree object at 0x155520631df0>
 <ptreeopt.tree.PTree object at 0x155520631e20>
 <ptreeopt.tree.PTree object at 0x15551528c100>
 <ptreeopt.tree.PTree object at 0x15551528c7c0>
 <ptreeopt.tree.PTree object at 0x15551528cee0>
 <ptreeopt.tree.PTree object at 0x155520649e80>]",1,0,10,10
300,146,0.33,"[<ptreeopt.tree.PTree object at 0x1555150942e0>
 <ptreeopt.tree.PTree object at 0x155515094850>
 <ptreeopt.tree.PTree object at 0x155515094a60>
 <ptreeopt.tree.PTree object at 0x155520631430>
 <ptreeopt.tree.PTree object at 0x155520631df0>
 <ptreeopt.tree.PTree object at 0x155520631e20>
 <ptreeopt.tree.PTree object at 0x15551528c100>
 <ptreeopt.tree.PTree object at 0x15551528c7c0>
 <ptreeopt.tree.PTree object at 0x15551528cee0>
 <ptreeopt.tree.PTree object at 0x155520649e80>]",1,0,10,10
400,194,0.26,"[<ptreeopt.tree.PTree object at 0x155528537f40>
 <ptreeopt.tree.PTree object at 0x155528537f10>
 <ptreeopt.tree.PTree object at 0x155528537430>
 <ptreeopt.tree.PTree object at 0x155528537f70>
 <ptreeopt.tree.PTree object at 0x15552e6e63d0>
 <ptreeopt.tree.PTree object at 0x15551775b310>
 <ptreeopt.tree.PTree object at 0x1555155f55e0>
 <ptreeopt.tree.PTree object at 0x155517f3dfd0>
 <ptreeopt.tree.PTree object at 0x155515046520>
 <ptreeopt.tree.PTree object at 0x155515046310>]",1,0,10,10
500,243,0.26,"[<ptreeopt.tree.PTree object at 0x155528537f40>
 <ptreeopt.tree.PTree object at 0x155528537f10>
 <ptreeopt.tree.PTree object at 0x155528537430>
 <ptreeopt.tree.PTree object at 0x155528537f70>
 <ptreeopt.tree.PTree object at 0x15552e6e63d0>
 <ptreeopt.tree.PTree object at 0x15551775b310>
 <ptreeopt.tree.PTree object at 0x1555155f55e0>
 <ptreeopt.tree.PTree object at 0x155517f3dfd0>
 <ptreeopt.tree.PTree object at 0x155515046520>
 <ptreeopt.tree.PTree object at 0x155515046310>]",1,0,10,10
600,290,0.26,"[<ptreeopt.tree.PTree object at 0x155528537f40>
 <ptreeopt.tree.PTree object at 0x155528537f10>
 <ptreeopt.tree.PTree object at 0x155528537430>
 <ptreeopt.tree.PTree object at 0x155528537f70>
 <ptreeopt.tree.PTree object at 0x15552e6e63d0>
 <ptreeopt.tree.PTree object at 0x15551775b310>
 <ptreeopt.tree.PTree object at 0x1555155f55e0>
 <ptreeopt.tree.PTree object at 0x155517f3dfd0>
 <ptreeopt.tree.PTree object at 0x155515046520>
 <ptreeopt.tree.PTree object at 0x155515046310>]",1,0,10,10
700,338,0.24,"[<ptreeopt.tree.PTree object at 0x155515046b80>
 <ptreeopt.tree.PTree object at 0x155515046730>
 <ptreeopt.tree.PTree object at 0x1555150466a0>
 <ptreeopt.tree.PTree object at 0x155515046220>
 <ptreeopt.tree.PTree object at 0x1555150460a0>
 <ptreeopt.tree.PTree object at 0x1555152e59a0>
 <ptreeopt.tree.PTree object at 0x1555152e5130>
 <ptreeopt.tree.PTree object at 0x1555152e51f0>
 <ptreeopt.tree.PTree object at 0x1555152e56a0>
 <ptreeopt.tree.PTree object at 0x1555156af0d0>]",1,0,10,10
800,386,0.24,"[<ptreeopt.tree.PTree object at 0x155515046b80>
 <ptreeopt.tree.PTree object at 0x155515046730>
 <ptreeopt.tree.PTree object at 0x1555150466a0>
 <ptreeopt.tree.PTree object at 0x155515046220>
 <ptreeopt.tree.PTree object at 0x1555150460a0>
 <ptreeopt.tree.PTree object at 0x1555152e59a0>
 <ptreeopt.tree.PTree object at 0x1555152e5130>
 <ptreeopt.tree.PTree object at 0x1555152e51f0>
 <ptreeopt.tree.PTree object at 0x1555152e56a0>
 <ptreeopt.tree.PTree object at 0x1555156af0d0>]",1,0,10,10
900,435,0.24,"[<ptreeopt.tree.PTree object at 0x155515046b80>
 <ptreeopt.tree.PTree object at 0x155515046730>
 <ptreeopt.tree.PTree object at 0x1555150466a0>
 <ptreeopt.tree.PTree object at 0x155515046220>
 <ptreeopt.tree.PTree object at 0x1555150460a0>
 <ptreeopt.tree.PTree object at 0x1555152e59a0>
 <ptreeopt.tree.PTree object at 0x1555152e5130>
 <ptreeopt.tree.PTree object at 0x1555152e51f0>
 <ptreeopt.tree.PTree object at 0x1555152e56a0>
 <ptreeopt.tree.PTree object at 0x1555156af0d0>]",1,0,10,10
1000,483,0.24,"[<ptreeopt.tree.PTree object at 0x155515046b80>
 <ptreeopt.tree.PTree object at 0x155515046730>
 <ptreeopt.tree.PTree object at 0x1555150466a0>
 <ptreeopt.tree.PTree object at 0x155515046220>
 <ptreeopt.tree.PTree object at 0x1555150460a0>
 <ptreeopt.tree.PTree object at 0x1555152e59a0>
 <ptreeopt.tree.PTree object at 0x1555152e5130>
 <ptreeopt.tree.PTree object at 0x1555152e51f0>
 <ptreeopt.tree.PTree object at 0x1555152e56a0>
 <ptreeopt.tree.PTree object at 0x1555156af0d0>]",1,0,10,10
