nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,41,0.34,"[<ptreeopt.tree.PTree object at 0x155517230280>
 <ptreeopt.tree.PTree object at 0x155517230c10>
 <ptreeopt.tree.PTree object at 0x155517230910>
 <ptreeopt.tree.PTree object at 0x1555201e0760>
 <ptreeopt.tree.PTree object at 0x1555201e0d90>
 <ptreeopt.tree.PTree object at 0x1555201e01c0>
 <ptreeopt.tree.PTree object at 0x1555171f5d60>
 <ptreeopt.tree.PTree object at 0x1555171f5190>
 <ptreeopt.tree.PTree object at 0x15552088c820>
 <ptreeopt.tree.PTree object at 0x155515244d30>]",5,0,10,10
200,83,0.32,"[<ptreeopt.tree.PTree object at 0x155517875370>
 <ptreeopt.tree.PTree object at 0x155517875700>
 <ptreeopt.tree.PTree object at 0x1555178758b0>
 <ptreeopt.tree.PTree object at 0x1555178756d0>
 <ptreeopt.tree.PTree object at 0x1555178759a0>
 <ptreeopt.tree.PTree object at 0x155517875160>
 <ptreeopt.tree.PTree object at 0x155520604640>
 <ptreeopt.tree.PTree object at 0x155520604250>
 <ptreeopt.tree.PTree object at 0x155516e7a130>
 <ptreeopt.tree.PTree object at 0x155516e7ad90>]",5,0,10,10
300,125,0.28,"[<ptreeopt.tree.PTree object at 0x1555181bc0d0>
 <ptreeopt.tree.PTree object at 0x1555181bc370>
 <ptreeopt.tree.PTree object at 0x1555181bc940>
 <ptreeopt.tree.PTree object at 0x1555181bc550>
 <ptreeopt.tree.PTree object at 0x1555181bcfa0>
 <ptreeopt.tree.PTree object at 0x1555181bc340>
 <ptreeopt.tree.PTree object at 0x1555181bcc10>
 <ptreeopt.tree.PTree object at 0x1555281c84f0>
 <ptreeopt.tree.PTree object at 0x1555281c8cd0>
 <ptreeopt.tree.PTree object at 0x1555181a9fd0>]",5,0,10,10
400,169,0.19,"[<ptreeopt.tree.PTree object at 0x155515305700>
 <ptreeopt.tree.PTree object at 0x155515305b80>
 <ptreeopt.tree.PTree object at 0x155515305730>
 <ptreeopt.tree.PTree object at 0x155515305dc0>
 <ptreeopt.tree.PTree object at 0x1555153051f0>
 <ptreeopt.tree.PTree object at 0x155515305c70>
 <ptreeopt.tree.PTree object at 0x155514fc81c0>
 <ptreeopt.tree.PTree object at 0x155515305cd0>
 <ptreeopt.tree.PTree object at 0x155515d697c0>
 <ptreeopt.tree.PTree object at 0x15551564e940>]",5,0,10,10
500,212,0.19,"[<ptreeopt.tree.PTree object at 0x155515305700>
 <ptreeopt.tree.PTree object at 0x155515305b80>
 <ptreeopt.tree.PTree object at 0x155515305730>
 <ptreeopt.tree.PTree object at 0x155515305dc0>
 <ptreeopt.tree.PTree object at 0x1555153051f0>
 <ptreeopt.tree.PTree object at 0x155515305c70>
 <ptreeopt.tree.PTree object at 0x155514fc81c0>
 <ptreeopt.tree.PTree object at 0x155515305cd0>
 <ptreeopt.tree.PTree object at 0x155515d697c0>
 <ptreeopt.tree.PTree object at 0x15551564e940>]",5,0,10,10
600,256,0.19,"[<ptreeopt.tree.PTree object at 0x155515305700>
 <ptreeopt.tree.PTree object at 0x155515305b80>
 <ptreeopt.tree.PTree object at 0x155515305730>
 <ptreeopt.tree.PTree object at 0x155515305dc0>
 <ptreeopt.tree.PTree object at 0x1555153051f0>
 <ptreeopt.tree.PTree object at 0x155515305c70>
 <ptreeopt.tree.PTree object at 0x155514fc81c0>
 <ptreeopt.tree.PTree object at 0x155515305cd0>
 <ptreeopt.tree.PTree object at 0x155515d697c0>
 <ptreeopt.tree.PTree object at 0x15551564e940>]",5,0,10,10
700,298,0.19,"[<ptreeopt.tree.PTree object at 0x155515305700>
 <ptreeopt.tree.PTree object at 0x155515305b80>
 <ptreeopt.tree.PTree object at 0x155515305730>
 <ptreeopt.tree.PTree object at 0x155515305dc0>
 <ptreeopt.tree.PTree object at 0x1555153051f0>
 <ptreeopt.tree.PTree object at 0x155515305c70>
 <ptreeopt.tree.PTree object at 0x155514fc81c0>
 <ptreeopt.tree.PTree object at 0x155515305cd0>
 <ptreeopt.tree.PTree object at 0x155515d697c0>
 <ptreeopt.tree.PTree object at 0x15551564e940>]",5,0,10,10
800,339,0.19,"[<ptreeopt.tree.PTree object at 0x155515305700>
 <ptreeopt.tree.PTree object at 0x155515305b80>
 <ptreeopt.tree.PTree object at 0x155515305730>
 <ptreeopt.tree.PTree object at 0x155515305dc0>
 <ptreeopt.tree.PTree object at 0x1555153051f0>
 <ptreeopt.tree.PTree object at 0x155515305c70>
 <ptreeopt.tree.PTree object at 0x155514fc81c0>
 <ptreeopt.tree.PTree object at 0x155515305cd0>
 <ptreeopt.tree.PTree object at 0x155515d697c0>
 <ptreeopt.tree.PTree object at 0x15551564e940>]",5,0,10,10
900,381,0.19,"[<ptreeopt.tree.PTree object at 0x155515305700>
 <ptreeopt.tree.PTree object at 0x155515305b80>
 <ptreeopt.tree.PTree object at 0x155515305730>
 <ptreeopt.tree.PTree object at 0x155515305dc0>
 <ptreeopt.tree.PTree object at 0x1555153051f0>
 <ptreeopt.tree.PTree object at 0x155515305c70>
 <ptreeopt.tree.PTree object at 0x155514fc81c0>
 <ptreeopt.tree.PTree object at 0x155515305cd0>
 <ptreeopt.tree.PTree object at 0x155515d697c0>
 <ptreeopt.tree.PTree object at 0x15551564e940>]",5,0,10,10
1000,422,0.19,"[<ptreeopt.tree.PTree object at 0x155515305700>
 <ptreeopt.tree.PTree object at 0x155515305b80>
 <ptreeopt.tree.PTree object at 0x155515305730>
 <ptreeopt.tree.PTree object at 0x155515305dc0>
 <ptreeopt.tree.PTree object at 0x1555153051f0>
 <ptreeopt.tree.PTree object at 0x155515305c70>
 <ptreeopt.tree.PTree object at 0x155514fc81c0>
 <ptreeopt.tree.PTree object at 0x155515305cd0>
 <ptreeopt.tree.PTree object at 0x155515d697c0>
 <ptreeopt.tree.PTree object at 0x15551564e940>]",5,0,10,10
