nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,9,0.52,"[<ptreeopt.tree.PTree object at 0x15551517fb50>
 <ptreeopt.tree.PTree object at 0x15551517fac0>
 <ptreeopt.tree.PTree object at 0x15551517f6d0>]",2,0,3,10
200,17,0.52,"[<ptreeopt.tree.PTree object at 0x15551517fb50>
 <ptreeopt.tree.PTree object at 0x15551517fac0>
 <ptreeopt.tree.PTree object at 0x15551517f6d0>]",2,0,3,10
300,26,0.52,"[<ptreeopt.tree.PTree object at 0x15551517fb50>
 <ptreeopt.tree.PTree object at 0x15551517fac0>
 <ptreeopt.tree.PTree object at 0x15551517f6d0>]",2,0,3,10
400,35,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
500,44,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
600,52,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
700,60,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
800,69,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
900,78,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
1000,86,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
1100,95,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
1200,104,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
1300,112,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
1400,120,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
1500,129,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
1600,137,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
1700,145,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
1800,154,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
1900,162,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
2000,171,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
2100,180,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
2200,189,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
2300,198,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
2400,207,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
2500,215,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
2600,224,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
2700,233,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
2800,242,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
2900,251,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
3000,259,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
3100,268,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
3200,277,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
3300,285,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
3400,295,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
3500,304,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
3600,312,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
3700,322,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
3800,330,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
3900,339,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
4000,348,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
4100,357,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
4200,365,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
4300,373,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
4400,381,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
4500,389,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
4600,398,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
4700,406,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
4800,415,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
4900,423,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
5000,432,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
5100,440,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
5200,449,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
5300,458,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
5400,467,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
5500,475,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
5600,484,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
5700,492,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
5800,501,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
5900,510,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
6000,519,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
6100,528,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
6200,537,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
6300,546,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
6400,555,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
6500,564,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
6600,572,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
6700,581,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
6800,590,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
6900,599,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
7000,607,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
7100,615,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
7200,624,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
7300,633,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
7400,642,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
7500,650,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
7600,659,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
7700,667,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
7800,676,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
7900,685,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
8000,694,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
8100,704,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
8200,712,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
8300,721,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
8400,730,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
8500,739,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
8600,748,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
8700,757,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
8800,766,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
8900,774,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
9000,783,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
9100,792,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
9200,801,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
9300,810,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
9400,818,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
9500,827,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
9600,836,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
9700,846,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
9800,855,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
9900,863,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
10000,872,0.2,"[<ptreeopt.tree.PTree object at 0x1555179a13d0>
 <ptreeopt.tree.PTree object at 0x1555179a1a30>
 <ptreeopt.tree.PTree object at 0x1555179a1880>]",2,0,3,10
100,9,0.36,"[<ptreeopt.tree.PTree object at 0x1555209a31f0>
 <ptreeopt.tree.PTree object at 0x1555209a3400>
 <ptreeopt.tree.PTree object at 0x1555209a3640>]",2,1,3,10
200,17,0.36,"[<ptreeopt.tree.PTree object at 0x1555209a31f0>
 <ptreeopt.tree.PTree object at 0x1555209a3400>
 <ptreeopt.tree.PTree object at 0x1555209a3640>]",2,1,3,10
300,26,0.36,"[<ptreeopt.tree.PTree object at 0x1555209a31f0>
 <ptreeopt.tree.PTree object at 0x1555209a3400>
 <ptreeopt.tree.PTree object at 0x1555209a3640>]",2,1,3,10
400,34,0.3,"[<ptreeopt.tree.PTree object at 0x155520448820>
 <ptreeopt.tree.PTree object at 0x155520448af0>
 <ptreeopt.tree.PTree object at 0x155520448ca0>]",2,1,3,10
