,Unnamed: 0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,not_intercepted,nfe
0,0,-0.8792895179397184,0.901428959093769,0.2282436741891536,0.3084470516467261,-0.0879769972507655,-0.9847505951014152,-0.549307979619793,0.7894810313181688,0.9901589362203844,-0.1017310782878688,-0.965828168041236,-0.3636674682270095,0.379737360494395,-0.4717095269403051,-0.5203546363866494,-0.3181048860915829,0.1573088661406598,0.9041558624392608,0.3268185631379368,-0.906380276508984,0.5187739561638163,0.3130016555421642,-0.8096250770935032,0.6328124930671173,0.3126528129592498,-0.1339329148808781,0.4058112089755081,-0.4987799138307718,-0.9890705194299398,0.4056619144654876,-0.4148455274272706,-0.2602085067851696,0.3253538916341185,0.4262036220628944,-0.4141005662410826,-0.4819971391810658,-0.4531956197393616,-0.8721403236152174,-0.8182219155743984,-0.5480714468101506,0.5967168311311812,-0.1500848439935938,0.0708631017773151,-0.1053001314637356,0.211543627481993,-0.6990677794182327,-0.2442671570806529,-0.2582437379501923,-0.2147190408039574,-0.6980119281941475,0.134180814214635,0.4071808557332683,-0.0099247067880618,-0.3759646942698433,-0.1929378267880102,-0.6725993395708392,-0.7069996856124057,-0.1504366149588769,-0.1938795136149222,0.0231430921140403,0.3904365665474764,0.1973784191673253,0.1597401679633202,0.4143473957759019,0.7137067088088964,0.982050880767446,0.872641937882127,0.9806147397795796,0.4549588243683999,0.473206574396839,0.9943841041621444,0.3154367461228971,0.5675152803778123,0.2878417875735197,0.0877550591575573,0.378635912978024,0.0150964574642968,0.0212353073088277,0.5516970669234044,0.2619202278620288,0.9161449936494864,0.8675018383976728,0.689693850746467,0.6228730941078482,0.0169476673193159,0.9241540082072546,0.6244817353512159,0.0572077003208508,0.7869186388269909,0.9358481265081586,0.7207731353399355,0.1365016246862437,0.355578586458581,0.9663146434086898,0.1005955825174058,0.6718646378043808,0.1812246284299155,0.6948216189540728,0.5033678354463924,0.1461580149668339,0.0140181052701639,0.9474842867153236,0.1663261508585618,0.2524208543064527,0.8312507073984137,0.7684362967831369,0.0437860743238394,0.4422742714269747,0.6102209737716039,0.1858025777707332,0.9163533756894704,0.8472664365063975,0.8741141774283178,0.880364676309792,0.8398666100912462,0.3284478707644695,0.4819452722071607,0.0735463279119602,0.5002849750312088,0.2429597442688394,0.8085735244724228,0.9697230114780058,0.032032026401517,0.6779593957788597,0.084366663167556,0.6617653014814374,0.2212399828440115,0.4670920337192301,0.3880652630194788,0.4523073221761928,0.5514089914392136,0.5455727498129996,0.6385917208054955,0.2269868933208789,0.4418968536057875,0.1556803973413272,0.1161387056299011,0.4672746351076948,0.62,100
0,0,-0.4744886994559864,0.9788311000490209,-0.3755498968177703,-0.2958203998881842,-0.4563768583613705,-0.9843456253206108,-0.4418795084220316,-0.6613590491315259,-0.937531186220788,0.2182640722637281,0.0753626303706217,0.558401417602447,-0.9136722907677144,0.3089535854988188,-0.1924508549819175,0.2036023659078057,-0.3805577607775182,-0.0754585204027525,-0.9739696249093954,0.1886279785731069,-0.7832280514470145,0.4997951946618975,-0.5254155447386123,-0.5538059019261764,-0.3548298632962792,-0.4925544575600732,0.05242802479898,-0.8855462662349618,-0.9804204901898056,0.1780189687832315,-0.0405844264570808,-0.0762872937779118,-0.6633548625156526,-0.3063045458891656,-0.3809898638577191,-0.6825864556544747,0.075842420016232,-0.92569674578435,0.6437153368123504,0.4294620173097992,-0.906886040412201,0.1578845063427836,-0.7704612132820244,0.4956848501022743,-0.3551375997333266,0.4719807255288453,-0.6121934108775522,-0.9196022862184032,0.7081334742940291,0.4686368643600954,0.2904995018632257,-0.1418632384106422,-0.9488343366740898,0.5850464535753926,0.0647518802510536,0.7203711830410992,0.1239632275988529,0.914672964777123,0.7064492159936379,-0.4300586505824341,0.7615726662975308,0.0634863722482076,0.1571176821251538,0.5592338583261468,0.3435546636367912,0.0493872695395059,0.6246964489615252,0.2451886073009762,0.4232170583844534,0.3467980932702024,0.0508884547148268,0.2631250525327638,0.3509432032694421,0.6884334311337706,0.394392679284494,0.4142989609582881,0.0054636809793336,0.2040415220566935,0.1351682750961741,0.0705480782283533,0.989108837533424,0.3200177975505642,0.0934817282083218,0.0257837930498637,0.475037177209099,0.3489442020756584,0.3507255875303451,0.0558978468659739,0.2206761482865343,0.8416410668424522,0.7359822811856248,0.0108451125293399,0.479437206816623,0.2592325460234465,0.7865082111751353,0.8778057905777962,0.7899466596139919,0.9355606767621718,0.8441910960632328,0.837432235700992,0.7473463680100062,0.7686975312585415,0.0433354366560853,0.8855488165808063,0.7093254571920679,0.6304632003514118,0.7597267350067202,0.6486838000229558,0.3273907515292302,0.3061717976313954,0.6754518572086254,0.7710320049801742,0.6148748049579156,0.0386722900026318,0.8210875537043335,0.6332380300784805,0.4318168419174282,0.1327386085173609,0.4450400966877353,0.4531148696399504,0.0892809099175989,0.0589225661424451,0.0439405516638641,0.6193999198311085,0.6454515164790781,0.3502206076649183,0.777263397566339,0.597355659570692,0.0248214216125117,0.4153468119894459,0.0713505142522903,0.0723536734397603,0.4231653512525533,0.0843882166056037,0.9080607535058346,0.7958939065152342,0.536876626002415,0.4524225982864257,0.32,10021
0,0,-0.5422693450454122,0.8341718122439692,-0.3914951636547947,0.7955372075111806,-0.6536376899484017,-0.7571146337987125,-1.0,-0.0757599931153895,-0.3312840403403524,0.539763290859862,-1.0,0.6341400082258011,-1.0,0.8298118577418432,-0.6638308098556721,-0.0058947902782745,0.2133774784162267,-0.9213285967625576,-0.9478832240031382,-1.0,0.2930219204165318,-0.0942124248826721,0.8473560709657249,-1.0,0.5758594409128225,0.3920760556970292,0.4806389193344913,-0.5363082530552471,0.594027523438637,0.6615253340697904,-1.0,-0.6035745674280123,-0.6928065174480311,-0.2507302795417811,-0.4651309259245389,-0.3081047944906123,-0.725102167177721,-0.9728002517763326,-0.6860324770184869,0.8941296104232939,0.7014040644467803,-0.3828611201251755,-0.9167895272389972,0.3987923416603788,0.0006166874830689,0.983235185512593,-0.9981223105800808,-1.0,-1.0,0.6144778082957393,-0.4752455694269726,0.6239169686670348,-1.0,-0.3246713796946412,1.0,1.0,-0.160333952620843,0.7580523402812666,1.0,-0.628425984718625,0.7502973334489343,0.1044225820135775,0.0158530621611355,0.0934569466806682,0.9863424024701412,0.0001,0.3343679604796084,0.0038862998303374,0.0001,0.6576350522423411,0.1910067437584659,0.4540676668162683,0.991097069535171,0.0001,0.8658605812151738,0.3813626604782606,0.0122097970784934,0.2275343288473756,0.1636020178362655,0.1187316271496179,0.8124115505929392,0.1134295976982308,0.7542911250844817,0.0001,0.1179664489995407,0.7602282101544517,0.7519911170514229,0.0001,0.2428342432920783,0.6058361769608047,0.5741100437220229,0.0034088427524877,0.5297466975750046,0.0116977230231457,0.9825718759145978,1.0,0.6342185522741399,0.0641693466492381,0.2447543378422134,0.0001,0.5423263857102707,0.931135564273254,0.0200413501976419,0.6593479867012163,0.0218214040905439,0.7386895725450093,0.0001,0.3675416106420139,0.9875970629154502,1.0,0.8218589861556972,0.9797972733032668,0.0001,0.0450892098213247,0.3631121541051909,0.9494169316028316,0.1616921661035312,0.6664094223778315,1.0,0.5273981337311063,0.0210983183874927,0.1198072107682242,0.0571805821582127,0.2638142681883847,0.0,0.5716733812478888,0.0,0.9696796897720938,0.8908517461069669,0.9779504156061531,0.9427659081239762,0.1679608867112614,0.9026470332219654,0.1799758388203764,0.1216450938214692,0.2795718524904445,0.004501178035455,0.0230355265173145,0.42,1068
0,0,-0.4892582198221528,-0.1673914656272854,-1.0,0.7685376630047266,-0.8336166834518399,-0.7424380376335625,-1.0,-0.1308597519492192,-0.3659172810796015,0.1690937253974163,0.2616204317964329,-0.6005651926545742,-1.0,0.7488026364058449,-0.9954333009492038,0.8562621904273325,0.1745501604406462,-1.0,-1.0,-1.0,0.3825276490994178,-0.6650321032113671,0.8533336805992371,-1.0,0.516615555519478,0.4543742638868795,1.0,-1.0,-0.0655280793910276,-0.5678412653928679,-1.0,-0.6897719680199078,-0.7714629144150474,-0.3269433635485179,-0.4702847417803209,-0.3025306762500263,1.0,-1.0,0.1148701705526222,0.5055712734315861,-1.0,0.1500782626513266,-0.98342889841147,0.2995372308696259,-1.0,1.0,-1.0,-1.0,-1.0,0.4898117586886839,0.3742228533164805,-0.1739512756459659,-1.0,-1.0,1.0,1.0,-0.1553421535076039,0.7169862761897976,1.0,-1.0,1.0,0.0579100696945518,0.0001,0.1653099892544126,0.9664835776654318,0.2440577113100769,0.0001,0.0001,0.0001,0.9952827293576296,0.1102179192746407,0.4227129478824238,0.5215448187109402,0.0001,0.9050906818385748,0.3334744398767303,0.0001,0.1983136441620452,0.1406694386246735,0.118180366836025,0.6068510490810145,0.0219553429147316,1.0,0.3381387104969388,0.8302590966454916,0.3503435518833601,0.3072166389048143,0.0001,0.2341261269115094,0.5220196778627018,0.5522672353939493,0.0001,0.4637709869609133,0.0001,1.0,0.9887584646020934,0.9947522177547304,0.0679382209886746,0.2500342621510983,0.1642527849717294,0.8452521093316572,0.4659380304134151,0.0001,0.6873908268977731,0.0169296599654569,0.3588073097851785,0.2122842113204102,0.0001,1.0,1.0,0.7542101275018986,0.7732593475837705,0.3582686558811849,0.0001,0.2999260283039787,1.0,0.1001063881112523,0.6654175880827577,1.0,1.0,0.05185938819567,0.0737030651142954,0.0573419780111283,0.5162205083143862,0.0,0.2871878956131752,0.0,0.8128706612030039,0.0,0.7266232099575365,0.8845473113713075,0.2912618114490122,1.0,0.1065321599398434,0.031866619769596,0.5556376043146899,0.0,1.0,0.41,1165
0,0,-0.4892582198221528,-0.1673914656272854,-1.0,0.7685376630047266,-0.8336166834518399,-0.7424380376335625,-1.0,-0.1308597519492192,-0.3659172810796015,0.1690937253974163,0.2616204317964329,-0.6005651926545742,-1.0,0.7488026364058449,-0.9954333009492038,0.8562621904273325,0.1745501604406462,-1.0,-1.0,-1.0,0.3825276490994178,-0.6650321032113671,0.8533336805992371,-1.0,0.516615555519478,0.4543742638868795,1.0,-1.0,-0.0655280793910276,-0.5678412653928679,-1.0,-0.6897719680199078,-0.7714629144150474,-0.3269433635485179,-0.4702847417803209,-0.3025306762500263,1.0,-1.0,0.1148701705526222,0.5055712734315861,-1.0,0.1500782626513266,-0.98342889841147,0.2995372308696259,-1.0,1.0,-1.0,-1.0,-1.0,0.4898117586886839,0.3742228533164805,-0.1739512756459659,-1.0,-1.0,1.0,1.0,-0.1553421535076039,0.7169862761897976,1.0,-1.0,1.0,0.0579100696945518,0.0001,0.1653099892544126,0.9664835776654318,0.2440577113100769,0.0001,0.0001,0.0001,0.9952827293576296,0.1102179192746407,0.4227129478824238,0.5215448187109402,0.0001,0.9050906818385748,0.3334744398767303,0.0001,0.1983136441620452,0.1406694386246735,0.118180366836025,0.6068510490810145,0.0219553429147316,1.0,0.3381387104969388,0.8302590966454916,0.3503435518833601,0.3072166389048143,0.0001,0.2341261269115094,0.5220196778627018,0.5522672353939493,0.0001,0.4637709869609133,0.0001,1.0,0.9887584646020934,0.9947522177547304,0.0679382209886746,0.2500342621510983,0.1642527849717294,0.8452521093316572,0.4659380304134151,0.0001,0.6873908268977731,0.0169296599654569,0.3588073097851785,0.2122842113204102,0.0001,1.0,1.0,0.7542101275018986,0.7732593475837705,0.3582686558811849,0.0001,0.2999260283039787,1.0,0.1001063881112523,0.6654175880827577,1.0,1.0,0.05185938819567,0.0737030651142954,0.0573419780111283,0.5162205083143862,0.0,0.2871878956131752,0.0,0.8128706612030039,0.0,0.7266232099575365,0.8845473113713075,0.2912618114490122,1.0,0.1065321599398434,0.031866619769596,0.5556376043146899,0.0,1.0,0.41,1262
0,0,-0.4892582198221528,-0.1673914656272854,-1.0,0.7685376630047266,-0.8336166834518399,-0.7424380376335625,-1.0,-0.1308597519492192,-0.3659172810796015,0.1690937253974163,0.2616204317964329,-0.6005651926545742,-1.0,0.7488026364058449,-0.9954333009492038,0.8562621904273325,0.1745501604406462,-1.0,-1.0,-1.0,0.3825276490994178,-0.6650321032113671,0.8533336805992371,-1.0,0.516615555519478,0.4543742638868795,1.0,-1.0,-0.0655280793910276,-0.5678412653928679,-1.0,-0.6897719680199078,-0.7714629144150474,-0.3269433635485179,-0.4702847417803209,-0.3025306762500263,1.0,-1.0,0.1148701705526222,0.5055712734315861,-1.0,0.1500782626513266,-0.98342889841147,0.2995372308696259,-1.0,1.0,-1.0,-1.0,-1.0,0.4898117586886839,0.3742228533164805,-0.1739512756459659,-1.0,-1.0,1.0,1.0,-0.1553421535076039,0.7169862761897976,1.0,-1.0,1.0,0.0579100696945518,0.0001,0.1653099892544126,0.9664835776654318,0.2440577113100769,0.0001,0.0001,0.0001,0.9952827293576296,0.1102179192746407,0.4227129478824238,0.5215448187109402,0.0001,0.9050906818385748,0.3334744398767303,0.0001,0.1983136441620452,0.1406694386246735,0.118180366836025,0.6068510490810145,0.0219553429147316,1.0,0.3381387104969388,0.8302590966454916,0.3503435518833601,0.3072166389048143,0.0001,0.2341261269115094,0.5220196778627018,0.5522672353939493,0.0001,0.4637709869609133,0.0001,1.0,0.9887584646020934,0.9947522177547304,0.0679382209886746,0.2500342621510983,0.1642527849717294,0.8452521093316572,0.4659380304134151,0.0001,0.6873908268977731,0.0169296599654569,0.3588073097851785,0.2122842113204102,0.0001,1.0,1.0,0.7542101275018986,0.7732593475837705,0.3582686558811849,0.0001,0.2999260283039787,1.0,0.1001063881112523,0.6654175880827577,1.0,1.0,0.05185938819567,0.0737030651142954,0.0573419780111283,0.5162205083143862,0.0,0.2871878956131752,0.0,0.8128706612030039,0.0,0.7266232099575365,0.8845473113713075,0.2912618114490122,1.0,0.1065321599398434,0.031866619769596,0.5556376043146899,0.0,1.0,0.41,1361
0,0,-0.4892582198221528,-0.1673914656272854,-1.0,0.7685376630047266,-0.8336166834518399,-0.7424380376335625,-1.0,-0.1308597519492192,-0.3659172810796015,0.1690937253974163,0.2616204317964329,-0.6005651926545742,-1.0,0.7488026364058449,-0.9954333009492038,0.8562621904273325,0.1745501604406462,-1.0,-1.0,-1.0,0.3825276490994178,-0.6650321032113671,0.8533336805992371,-1.0,0.516615555519478,0.4543742638868795,1.0,-1.0,-0.0655280793910276,-0.5678412653928679,-1.0,-0.6897719680199078,-0.7714629144150474,-0.3269433635485179,-0.4702847417803209,-0.3025306762500263,1.0,-1.0,0.1148701705526222,0.5055712734315861,-1.0,0.1500782626513266,-0.98342889841147,0.2995372308696259,-1.0,1.0,-1.0,-1.0,-1.0,0.4898117586886839,0.3742228533164805,-0.1739512756459659,-1.0,-1.0,1.0,1.0,-0.1553421535076039,0.7169862761897976,1.0,-1.0,1.0,0.0579100696945518,0.0001,0.1653099892544126,0.9664835776654318,0.2440577113100769,0.0001,0.0001,0.0001,0.9952827293576296,0.1102179192746407,0.4227129478824238,0.5215448187109402,0.0001,0.9050906818385748,0.3334744398767303,0.0001,0.1983136441620452,0.1406694386246735,0.118180366836025,0.6068510490810145,0.0219553429147316,1.0,0.3381387104969388,0.8302590966454916,0.3503435518833601,0.3072166389048143,0.0001,0.2341261269115094,0.5220196778627018,0.5522672353939493,0.0001,0.4637709869609133,0.0001,1.0,0.9887584646020934,0.9947522177547304,0.0679382209886746,0.2500342621510983,0.1642527849717294,0.8452521093316572,0.4659380304134151,0.0001,0.6873908268977731,0.0169296599654569,0.3588073097851785,0.2122842113204102,0.0001,1.0,1.0,0.7542101275018986,0.7732593475837705,0.3582686558811849,0.0001,0.2999260283039787,1.0,0.1001063881112523,0.6654175880827577,1.0,1.0,0.05185938819567,0.0737030651142954,0.0573419780111283,0.5162205083143862,0.0,0.2871878956131752,0.0,0.8128706612030039,0.0,0.7266232099575365,0.8845473113713075,0.2912618114490122,1.0,0.1065321599398434,0.031866619769596,0.5556376043146899,0.0,1.0,0.41,1460
0,0,-0.8300999359846454,-0.3910710501103089,-1.0,-0.2251462612175744,-0.585210427169077,-1.0,-1.0,1.0,-0.9545522050644176,0.0866809718449429,0.057865488333917,0.3791184810054778,0.8476788888439623,0.5869360479696487,-0.1688705696379208,-1.0,-0.4420066384570701,0.8061208513718982,-1.0,0.4026109525354833,-0.0785946411646913,-0.104803563474797,-0.8476357492977223,-0.0789884494845871,-0.4876438037403832,-0.3941174639892338,-0.6906205534812043,-0.6685208210701261,0.6727773230620163,0.4283823802811746,-1.0,-1.0,-0.6266732912666388,-1.0,0.4240853642797441,-0.8113535945055882,-0.4969488832924089,-1.0,0.1087123645208346,-0.2051938067109823,-0.1622930979225384,-0.6686330511242875,-1.0,-0.2739020512446139,-0.7038961390144731,0.2784055988092198,1.0,1.0,-0.997658825511274,0.5674097975023247,-1.0,0.6370983431652578,0.8704474731485674,0.806812413991253,-0.7033562077063409,0.4800582807426632,-0.4386447693332398,-0.6129957892456279,-1.0,-0.5244483382485855,0.5124619164237899,0.6945566493787041,0.0491926994680911,0.0001,0.0001,1.0,0.9553276931741016,0.3267193605459979,0.808425866787337,0.0001,0.2474673354369164,0.6327176488137642,0.0001,0.4134285669253139,1.0,0.4013701602535171,0.3143888536336246,0.7033991454931574,0.0160815152134114,0.3548423080129682,0.5523793174012571,0.0001,0.7219849639840175,0.6219591279344816,0.2990951039451709,0.0167412140986297,0.1543837243162165,0.0452510520323048,0.0082642859264671,0.3386767474566373,0.2338039362036013,0.1281454947847261,0.0340806113505688,0.0001,0.7598120088970725,0.6367545062029603,0.5101789905854757,0.2028559657641402,0.345048528637906,0.6230139116002629,0.4598238472660887,0.7667731879898676,0.2561500989394605,0.0987049499616023,0.6917285247236655,0.7946412587809789,0.0001,0.8305753841713391,0.1902563269172153,0.9069272978908166,0.4049193802929073,0.7611426888283515,0.0001,0.9143678887764548,0.6757739457648301,0.3572437951264844,0.520844693575822,1.0,0.0001,0.338915351368719,0.2344824947391972,0.6632230262744737,0.0541896116194138,0.0,0.2552433966619212,0.25986866319149,0.5202692439461915,0.1026148612372439,0.4828380035604719,0.379941648543923,0.2752512027283655,0.0255540770419313,0.0,0.3286825588803287,0.6993818444663886,0.1939038248628446,0.9207065696834508,0.6505521613164655,0.4,1556
0,0,-0.8300999359846454,-0.3910710501103089,-1.0,-0.2251462612175744,-0.585210427169077,-1.0,-1.0,1.0,-0.9545522050644176,0.0866809718449429,0.057865488333917,0.3791184810054778,0.8476788888439623,0.5869360479696487,-0.1688705696379208,-1.0,-0.4420066384570701,0.8061208513718982,-1.0,0.4026109525354833,-0.0785946411646913,-0.104803563474797,-0.8476357492977223,-0.0789884494845871,-0.4876438037403832,-0.3941174639892338,-0.6906205534812043,-0.6685208210701261,0.6727773230620163,0.4283823802811746,-1.0,-1.0,-0.6266732912666388,-1.0,0.4240853642797441,-0.8113535945055882,-0.4969488832924089,-1.0,0.1087123645208346,-0.2051938067109823,-0.1622930979225384,-0.6686330511242875,-1.0,-0.2739020512446139,-0.7038961390144731,0.2784055988092198,1.0,1.0,-0.997658825511274,0.5674097975023247,-1.0,0.6370983431652578,0.8704474731485674,0.806812413991253,-0.7033562077063409,0.4800582807426632,-0.4386447693332398,-0.6129957892456279,-1.0,-0.5244483382485855,0.5124619164237899,0.6945566493787041,0.0491926994680911,0.0001,0.0001,1.0,0.9553276931741016,0.3267193605459979,0.808425866787337,0.0001,0.2474673354369164,0.6327176488137642,0.0001,0.4134285669253139,1.0,0.4013701602535171,0.3143888536336246,0.7033991454931574,0.0160815152134114,0.3548423080129682,0.5523793174012571,0.0001,0.7219849639840175,0.6219591279344816,0.2990951039451709,0.0167412140986297,0.1543837243162165,0.0452510520323048,0.0082642859264671,0.3386767474566373,0.2338039362036013,0.1281454947847261,0.0340806113505688,0.0001,0.7598120088970725,0.6367545062029603,0.5101789905854757,0.2028559657641402,0.345048528637906,0.6230139116002629,0.4598238472660887,0.7667731879898676,0.2561500989394605,0.0987049499616023,0.6917285247236655,0.7946412587809789,0.0001,0.8305753841713391,0.1902563269172153,0.9069272978908166,0.4049193802929073,0.7611426888283515,0.0001,0.9143678887764548,0.6757739457648301,0.3572437951264844,0.520844693575822,1.0,0.0001,0.338915351368719,0.2344824947391972,0.6632230262744737,0.0541896116194138,0.0,0.2552433966619212,0.25986866319149,0.5202692439461915,0.1026148612372439,0.4828380035604719,0.379941648543923,0.2752512027283655,0.0255540770419313,0.0,0.3286825588803287,0.6993818444663886,0.1939038248628446,0.9207065696834508,0.6505521613164655,0.4,1654
0,0,-0.8300999359846454,-0.3910710501103089,-1.0,-0.2251462612175744,-0.585210427169077,-1.0,-1.0,1.0,-0.9545522050644176,0.0866809718449429,0.057865488333917,0.3791184810054778,0.8476788888439623,0.5869360479696487,-0.1688705696379208,-1.0,-0.4420066384570701,0.8061208513718982,-1.0,0.4026109525354833,-0.0785946411646913,-0.104803563474797,-0.8476357492977223,-0.0789884494845871,-0.4876438037403832,-0.3941174639892338,-0.6906205534812043,-0.6685208210701261,0.6727773230620163,0.4283823802811746,-1.0,-1.0,-0.6266732912666388,-1.0,0.4240853642797441,-0.8113535945055882,-0.4969488832924089,-1.0,0.1087123645208346,-0.2051938067109823,-0.1622930979225384,-0.6686330511242875,-1.0,-0.2739020512446139,-0.7038961390144731,0.2784055988092198,1.0,1.0,-0.997658825511274,0.5674097975023247,-1.0,0.6370983431652578,0.8704474731485674,0.806812413991253,-0.7033562077063409,0.4800582807426632,-0.4386447693332398,-0.6129957892456279,-1.0,-0.5244483382485855,0.5124619164237899,0.6945566493787041,0.0491926994680911,0.0001,0.0001,1.0,0.9553276931741016,0.3267193605459979,0.808425866787337,0.0001,0.2474673354369164,0.6327176488137642,0.0001,0.4134285669253139,1.0,0.4013701602535171,0.3143888536336246,0.7033991454931574,0.0160815152134114,0.3548423080129682,0.5523793174012571,0.0001,0.7219849639840175,0.6219591279344816,0.2990951039451709,0.0167412140986297,0.1543837243162165,0.0452510520323048,0.0082642859264671,0.3386767474566373,0.2338039362036013,0.1281454947847261,0.0340806113505688,0.0001,0.7598120088970725,0.6367545062029603,0.5101789905854757,0.2028559657641402,0.345048528637906,0.6230139116002629,0.4598238472660887,0.7667731879898676,0.2561500989394605,0.0987049499616023,0.6917285247236655,0.7946412587809789,0.0001,0.8305753841713391,0.1902563269172153,0.9069272978908166,0.4049193802929073,0.7611426888283515,0.0001,0.9143678887764548,0.6757739457648301,0.3572437951264844,0.520844693575822,1.0,0.0001,0.338915351368719,0.2344824947391972,0.6632230262744737,0.0541896116194138,0.0,0.2552433966619212,0.25986866319149,0.5202692439461915,0.1026148612372439,0.4828380035604719,0.379941648543923,0.2752512027283655,0.0255540770419313,0.0,0.3286825588803287,0.6993818444663886,0.1939038248628446,0.9207065696834508,0.6505521613164655,0.4,1751
