nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
3200,834,0.61,"[<ptreeopt.tree.PTree object at 0x155515290340>
 <ptreeopt.tree.PTree object at 0x155514d94100>
 <ptreeopt.tree.PTree object at 0x155514d949d0>]",1,0,3,3
3300,863,0.61,"[<ptreeopt.tree.PTree object at 0x155515290340>
 <ptreeopt.tree.PTree object at 0x155514d94100>
 <ptreeopt.tree.PTree object at 0x155514d949d0>]",1,0,3,3
3400,891,0.61,"[<ptreeopt.tree.PTree object at 0x155515290340>
 <ptreeopt.tree.PTree object at 0x155514d94100>
 <ptreeopt.tree.PTree object at 0x155514d949d0>]",1,0,3,3
3500,918,0.61,"[<ptreeopt.tree.PTree object at 0x155515290340>
 <ptreeopt.tree.PTree object at 0x155514d94100>
 <ptreeopt.tree.PTree object at 0x155514d949d0>]",1,0,3,3
3600,947,0.61,"[<ptreeopt.tree.PTree object at 0x155515290340>
 <ptreeopt.tree.PTree object at 0x155514d94100>
 <ptreeopt.tree.PTree object at 0x155514d949d0>]",1,0,3,3
3700,975,0.56,"[<ptreeopt.tree.PTree object at 0x155514e87730>
 <ptreeopt.tree.PTree object at 0x155514e87370>
 <ptreeopt.tree.PTree object at 0x155514e87340>]",1,0,3,3
3800,1000,0.56,"[<ptreeopt.tree.PTree object at 0x155514e87730>
 <ptreeopt.tree.PTree object at 0x155514e87370>
 <ptreeopt.tree.PTree object at 0x155514e87340>]",1,0,3,3
3900,1026,0.56,"[<ptreeopt.tree.PTree object at 0x155514e87730>
 <ptreeopt.tree.PTree object at 0x155514e87370>
 <ptreeopt.tree.PTree object at 0x155514e87340>]",1,0,3,3
4000,1053,0.56,"[<ptreeopt.tree.PTree object at 0x155514e87730>
 <ptreeopt.tree.PTree object at 0x155514e87370>
 <ptreeopt.tree.PTree object at 0x155514e87340>]",1,0,3,3
4100,1079,0.56,"[<ptreeopt.tree.PTree object at 0x155514e87730>
 <ptreeopt.tree.PTree object at 0x155514e87370>
 <ptreeopt.tree.PTree object at 0x155514e87340>]",1,0,3,3
4200,1107,0.56,"[<ptreeopt.tree.PTree object at 0x155514e87730>
 <ptreeopt.tree.PTree object at 0x155514e87370>
 <ptreeopt.tree.PTree object at 0x155514e87340>]",1,0,3,3
4300,1135,0.56,"[<ptreeopt.tree.PTree object at 0x155514e87730>
 <ptreeopt.tree.PTree object at 0x155514e87370>
 <ptreeopt.tree.PTree object at 0x155514e87340>]",1,0,3,3
4400,1164,0.56,"[<ptreeopt.tree.PTree object at 0x155514e87730>
 <ptreeopt.tree.PTree object at 0x155514e87370>
 <ptreeopt.tree.PTree object at 0x155514e87340>]",1,0,3,3
4500,1190,0.56,"[<ptreeopt.tree.PTree object at 0x155514e87730>
 <ptreeopt.tree.PTree object at 0x155514e87370>
 <ptreeopt.tree.PTree object at 0x155514e87340>]",1,0,3,3
4600,1216,0.56,"[<ptreeopt.tree.PTree object at 0x155514e87730>
 <ptreeopt.tree.PTree object at 0x155514e87370>
 <ptreeopt.tree.PTree object at 0x155514e87340>]",1,0,3,3
