nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
1100,513,0.2,"[<ptreeopt.tree.PTree object at 0x15552050e6a0>
 <ptreeopt.tree.PTree object at 0x15552050e130>
 <ptreeopt.tree.PTree object at 0x15552050e2b0>
 <ptreeopt.tree.PTree object at 0x15552050ea30>
 <ptreeopt.tree.PTree object at 0x15552050ec40>
 <ptreeopt.tree.PTree object at 0x15552050e610>
 <ptreeopt.tree.PTree object at 0x155520918820>
 <ptreeopt.tree.PTree object at 0x155520918610>
 <ptreeopt.tree.PTree object at 0x155517f36160>
 <ptreeopt.tree.PTree object at 0x155517f369d0>]",3,0,10,3
1200,559,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
1300,606,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
1400,654,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
1500,702,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
1600,751,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
1700,799,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
1800,847,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
1900,891,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
2000,939,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
