nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,12,0.54,"[<ptreeopt.tree.PTree object at 0x155517220700>
 <ptreeopt.tree.PTree object at 0x155517220b20>
 <ptreeopt.tree.PTree object at 0x15551812f130>]",4,0,3,3
200,25,0.5,"[<ptreeopt.tree.PTree object at 0x1555164aa1c0>
 <ptreeopt.tree.PTree object at 0x155516cb34c0>
 <ptreeopt.tree.PTree object at 0x155516cb3190>]",4,0,3,3
300,37,0.5,"[<ptreeopt.tree.PTree object at 0x1555164aa1c0>
 <ptreeopt.tree.PTree object at 0x155516cb34c0>
 <ptreeopt.tree.PTree object at 0x155516cb3190>]",4,0,3,3
400,50,0.5,"[<ptreeopt.tree.PTree object at 0x1555164aa1c0>
 <ptreeopt.tree.PTree object at 0x155516cb34c0>
 <ptreeopt.tree.PTree object at 0x155516cb3190>]",4,0,3,3
500,63,0.5,"[<ptreeopt.tree.PTree object at 0x1555164aa1c0>
 <ptreeopt.tree.PTree object at 0x155516cb34c0>
 <ptreeopt.tree.PTree object at 0x155516cb3190>]",4,0,3,3
600,75,0.49,"[<ptreeopt.tree.PTree object at 0x155520411df0>
 <ptreeopt.tree.PTree object at 0x155520411bb0>
 <ptreeopt.tree.PTree object at 0x155516c32e80>]",4,0,3,3
700,87,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
800,97,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
900,109,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
1000,121,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
1100,132,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
1200,145,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
1300,157,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
1400,168,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
1500,181,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
1600,193,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
1700,204,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
1800,216,0.47,"[<ptreeopt.tree.PTree object at 0x155516f7b400>
 <ptreeopt.tree.PTree object at 0x155516f7b2e0>
 <ptreeopt.tree.PTree object at 0x155516f7b430>]",4,0,3,3
