nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
100,19,0.67,"[<ptreeopt.tree.PTree object at 0x155513d17f40>
 <ptreeopt.tree.PTree object at 0x155513d171f0>
 <ptreeopt.tree.PTree object at 0x155513d17d60>]",8,0,3,10
200,35,0.66,"[<ptreeopt.tree.PTree object at 0x155515af62e0>
 <ptreeopt.tree.PTree object at 0x155515af62b0>
 <ptreeopt.tree.PTree object at 0x155515af6370>]",8,0,3,10
300,51,0.6,"[<ptreeopt.tree.PTree object at 0x1555156a82e0>
 <ptreeopt.tree.PTree object at 0x1555156a8430>
 <ptreeopt.tree.PTree object at 0x1555156a8280>]",8,0,3,10
400,67,0.6,"[<ptreeopt.tree.PTree object at 0x1555156a82e0>
 <ptreeopt.tree.PTree object at 0x1555156a8430>
 <ptreeopt.tree.PTree object at 0x1555156a8280>]",8,0,3,10
500,82,0.6,"[<ptreeopt.tree.PTree object at 0x1555156a82e0>
 <ptreeopt.tree.PTree object at 0x1555156a8430>
 <ptreeopt.tree.PTree object at 0x1555156a8280>]",8,0,3,10
600,98,0.6,"[<ptreeopt.tree.PTree object at 0x1555156a82e0>
 <ptreeopt.tree.PTree object at 0x1555156a8430>
 <ptreeopt.tree.PTree object at 0x1555156a8280>]",8,0,3,10
700,114,0.6,"[<ptreeopt.tree.PTree object at 0x1555156a82e0>
 <ptreeopt.tree.PTree object at 0x1555156a8430>
 <ptreeopt.tree.PTree object at 0x1555156a8280>]",8,0,3,10
800,131,0.6,"[<ptreeopt.tree.PTree object at 0x1555156a82e0>
 <ptreeopt.tree.PTree object at 0x1555156a8430>
 <ptreeopt.tree.PTree object at 0x1555156a8280>]",8,0,3,10
900,147,0.6,"[<ptreeopt.tree.PTree object at 0x1555156a82e0>
 <ptreeopt.tree.PTree object at 0x1555156a8430>
 <ptreeopt.tree.PTree object at 0x1555156a8280>]",8,0,3,10
1000,166,0.56,"[<ptreeopt.tree.PTree object at 0x1555156f79a0>
 <ptreeopt.tree.PTree object at 0x1555156f7be0>
 <ptreeopt.tree.PTree object at 0x1555156f7b80>]",8,0,3,10
1100,183,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
1200,199,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
1300,216,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
1400,236,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
1500,254,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
1600,271,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
1700,290,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
1800,308,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
1900,328,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
2000,346,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
2100,370,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
2200,391,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
2300,409,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
2400,430,0.49,"[<ptreeopt.tree.PTree object at 0x1555156139a0>
 <ptreeopt.tree.PTree object at 0x155514db6250>
 <ptreeopt.tree.PTree object at 0x155514db6340>]",8,0,3,10
2500,449,0.38,"[<ptreeopt.tree.PTree object at 0x15551742e490>
 <ptreeopt.tree.PTree object at 0x15551742e070>
 <ptreeopt.tree.PTree object at 0x15551742e040>]",8,0,3,10
2600,468,0.38,"[<ptreeopt.tree.PTree object at 0x15551742e490>
 <ptreeopt.tree.PTree object at 0x15551742e070>
 <ptreeopt.tree.PTree object at 0x15551742e040>]",8,0,3,10
