nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
100,3,0.73,"[<ptreeopt.tree.PTree object at 0x155520f845e0>
 <ptreeopt.tree.PTree object at 0x155520f848b0>
 <ptreeopt.tree.PTree object at 0x155520f84fa0>
 <ptreeopt.tree.PTree object at 0x155520f84f10>
 <ptreeopt.tree.PTree object at 0x1555281c62b0>
 <ptreeopt.tree.PTree object at 0x155520f12cd0>
 <ptreeopt.tree.PTree object at 0x1555287cb610>
 <ptreeopt.tree.PTree object at 0x155528469d30>
 <ptreeopt.tree.PTree object at 0x155528469be0>
 <ptreeopt.tree.PTree object at 0x155528469b80>]",7,0,10,10,3
200,6,0.73,"[<ptreeopt.tree.PTree object at 0x155520f845e0>
 <ptreeopt.tree.PTree object at 0x155520f848b0>
 <ptreeopt.tree.PTree object at 0x155520f84fa0>
 <ptreeopt.tree.PTree object at 0x155520f84f10>
 <ptreeopt.tree.PTree object at 0x1555281c62b0>
 <ptreeopt.tree.PTree object at 0x155520f12cd0>
 <ptreeopt.tree.PTree object at 0x1555287cb610>
 <ptreeopt.tree.PTree object at 0x155528469d30>
 <ptreeopt.tree.PTree object at 0x155528469be0>
 <ptreeopt.tree.PTree object at 0x155528469b80>]",7,0,10,10,3
300,9,0.73,"[<ptreeopt.tree.PTree object at 0x155520f845e0>
 <ptreeopt.tree.PTree object at 0x155520f848b0>
 <ptreeopt.tree.PTree object at 0x155520f84fa0>
 <ptreeopt.tree.PTree object at 0x155520f84f10>
 <ptreeopt.tree.PTree object at 0x1555281c62b0>
 <ptreeopt.tree.PTree object at 0x155520f12cd0>
 <ptreeopt.tree.PTree object at 0x1555287cb610>
 <ptreeopt.tree.PTree object at 0x155528469d30>
 <ptreeopt.tree.PTree object at 0x155528469be0>
 <ptreeopt.tree.PTree object at 0x155528469b80>]",7,0,10,10,3
400,13,0.73,"[<ptreeopt.tree.PTree object at 0x155520f845e0>
 <ptreeopt.tree.PTree object at 0x155520f848b0>
 <ptreeopt.tree.PTree object at 0x155520f84fa0>
 <ptreeopt.tree.PTree object at 0x155520f84f10>
 <ptreeopt.tree.PTree object at 0x1555281c62b0>
 <ptreeopt.tree.PTree object at 0x155520f12cd0>
 <ptreeopt.tree.PTree object at 0x1555287cb610>
 <ptreeopt.tree.PTree object at 0x155528469d30>
 <ptreeopt.tree.PTree object at 0x155528469be0>
 <ptreeopt.tree.PTree object at 0x155528469b80>]",7,0,10,10,3
500,16,0.73,"[<ptreeopt.tree.PTree object at 0x155520f845e0>
 <ptreeopt.tree.PTree object at 0x155520f848b0>
 <ptreeopt.tree.PTree object at 0x155520f84fa0>
 <ptreeopt.tree.PTree object at 0x155520f84f10>
 <ptreeopt.tree.PTree object at 0x1555281c62b0>
 <ptreeopt.tree.PTree object at 0x155520f12cd0>
 <ptreeopt.tree.PTree object at 0x1555287cb610>
 <ptreeopt.tree.PTree object at 0x155528469d30>
 <ptreeopt.tree.PTree object at 0x155528469be0>
 <ptreeopt.tree.PTree object at 0x155528469b80>]",7,0,10,10,3
600,19,0.73,"[<ptreeopt.tree.PTree object at 0x155520f845e0>
 <ptreeopt.tree.PTree object at 0x155520f848b0>
 <ptreeopt.tree.PTree object at 0x155520f84fa0>
 <ptreeopt.tree.PTree object at 0x155520f84f10>
 <ptreeopt.tree.PTree object at 0x1555281c62b0>
 <ptreeopt.tree.PTree object at 0x155520f12cd0>
 <ptreeopt.tree.PTree object at 0x1555287cb610>
 <ptreeopt.tree.PTree object at 0x155528469d30>
 <ptreeopt.tree.PTree object at 0x155528469be0>
 <ptreeopt.tree.PTree object at 0x155528469b80>]",7,0,10,10,3
700,22,0.73,"[<ptreeopt.tree.PTree object at 0x155520f845e0>
 <ptreeopt.tree.PTree object at 0x155520f848b0>
 <ptreeopt.tree.PTree object at 0x155520f84fa0>
 <ptreeopt.tree.PTree object at 0x155520f84f10>
 <ptreeopt.tree.PTree object at 0x1555281c62b0>
 <ptreeopt.tree.PTree object at 0x155520f12cd0>
 <ptreeopt.tree.PTree object at 0x1555287cb610>
 <ptreeopt.tree.PTree object at 0x155528469d30>
 <ptreeopt.tree.PTree object at 0x155528469be0>
 <ptreeopt.tree.PTree object at 0x155528469b80>]",7,0,10,10,3
800,25,0.73,"[<ptreeopt.tree.PTree object at 0x155520f845e0>
 <ptreeopt.tree.PTree object at 0x155520f848b0>
 <ptreeopt.tree.PTree object at 0x155520f84fa0>
 <ptreeopt.tree.PTree object at 0x155520f84f10>
 <ptreeopt.tree.PTree object at 0x1555281c62b0>
 <ptreeopt.tree.PTree object at 0x155520f12cd0>
 <ptreeopt.tree.PTree object at 0x1555287cb610>
 <ptreeopt.tree.PTree object at 0x155528469d30>
 <ptreeopt.tree.PTree object at 0x155528469be0>
 <ptreeopt.tree.PTree object at 0x155528469b80>]",7,0,10,10,3
900,29,0.73,"[<ptreeopt.tree.PTree object at 0x155520f845e0>
 <ptreeopt.tree.PTree object at 0x155520f848b0>
 <ptreeopt.tree.PTree object at 0x155520f84fa0>
 <ptreeopt.tree.PTree object at 0x155520f84f10>
 <ptreeopt.tree.PTree object at 0x1555281c62b0>
 <ptreeopt.tree.PTree object at 0x155520f12cd0>
 <ptreeopt.tree.PTree object at 0x1555287cb610>
 <ptreeopt.tree.PTree object at 0x155528469d30>
 <ptreeopt.tree.PTree object at 0x155528469be0>
 <ptreeopt.tree.PTree object at 0x155528469b80>]",7,0,10,10,3
1000,32,0.7,"[<ptreeopt.tree.PTree object at 0x155528230b50>
 <ptreeopt.tree.PTree object at 0x155520ea88b0>
 <ptreeopt.tree.PTree object at 0x155520ea8ee0>
 <ptreeopt.tree.PTree object at 0x155520ea81f0>
 <ptreeopt.tree.PTree object at 0x155520ea88e0>
 <ptreeopt.tree.PTree object at 0x1555282faaf0>
 <ptreeopt.tree.PTree object at 0x155528230d60>
 <ptreeopt.tree.PTree object at 0x155520ea8220>
 <ptreeopt.tree.PTree object at 0x155520ea8250>
 <ptreeopt.tree.PTree object at 0x155520b2fe20>]",7,0,10,10,3
