nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
100,0,0.41,"[<ptreeopt.tree.PTree object at 0x1555284eaf70>
 <ptreeopt.tree.PTree object at 0x1555284eafd0>
 <ptreeopt.tree.PTree object at 0x1555284eae20>]",0,0,10,3,10
200,1,0.4,"[<ptreeopt.tree.PTree object at 0x1555285000a0>
 <ptreeopt.tree.PTree object at 0x155528500790>
 <ptreeopt.tree.PTree object at 0x155528500880>]",0,0,10,3,10
300,2,0.4,"[<ptreeopt.tree.PTree object at 0x1555285000a0>
 <ptreeopt.tree.PTree object at 0x155528500790>
 <ptreeopt.tree.PTree object at 0x155528500880>]",0,0,10,3,10
400,3,0.4,"[<ptreeopt.tree.PTree object at 0x1555285000a0>
 <ptreeopt.tree.PTree object at 0x155528500790>
 <ptreeopt.tree.PTree object at 0x155528500880>]",0,0,10,3,10
500,4,0.4,"[<ptreeopt.tree.PTree object at 0x1555285000a0>
 <ptreeopt.tree.PTree object at 0x155528500790>
 <ptreeopt.tree.PTree object at 0x155528500880>]",0,0,10,3,10
600,5,0.4,"[<ptreeopt.tree.PTree object at 0x1555285000a0>
 <ptreeopt.tree.PTree object at 0x155528500790>
 <ptreeopt.tree.PTree object at 0x155528500880>]",0,0,10,3,10
700,6,0.4,"[<ptreeopt.tree.PTree object at 0x1555285000a0>
 <ptreeopt.tree.PTree object at 0x155528500790>
 <ptreeopt.tree.PTree object at 0x155528500880>]",0,0,10,3,10
800,7,0.4,"[<ptreeopt.tree.PTree object at 0x1555285000a0>
 <ptreeopt.tree.PTree object at 0x155528500790>
 <ptreeopt.tree.PTree object at 0x155528500880>]",0,0,10,3,10
900,8,0.4,"[<ptreeopt.tree.PTree object at 0x1555285000a0>
 <ptreeopt.tree.PTree object at 0x155528500790>
 <ptreeopt.tree.PTree object at 0x155528500880>]",0,0,10,3,10
1000,8,0.4,"[<ptreeopt.tree.PTree object at 0x1555285000a0>
 <ptreeopt.tree.PTree object at 0x155528500790>
 <ptreeopt.tree.PTree object at 0x155528500880>]",0,0,10,3,10
1100,9,0.4,"[<ptreeopt.tree.PTree object at 0x1555285000a0>
 <ptreeopt.tree.PTree object at 0x155528500790>
 <ptreeopt.tree.PTree object at 0x155528500880>]",0,0,10,3,10
1200,10,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
1300,11,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
1400,12,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
1500,13,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
1600,14,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
1700,15,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
1800,16,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
1900,16,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
2000,17,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
2100,18,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
2200,19,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
2300,20,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
2400,21,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
2500,22,0.39,"[<ptreeopt.tree.PTree object at 0x155528446340>
 <ptreeopt.tree.PTree object at 0x155528446820>
 <ptreeopt.tree.PTree object at 0x155528446af0>]",0,0,10,3,10
2600,23,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
2700,24,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
2800,25,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
2900,26,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
3000,26,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
3100,27,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
3200,28,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
3300,29,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
3400,30,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
3500,31,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
3600,32,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
3700,33,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
3800,33,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
3900,34,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
4000,35,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
4100,36,0.38,"[<ptreeopt.tree.PTree object at 0x1555284eec10>
 <ptreeopt.tree.PTree object at 0x1555284ee8e0>
 <ptreeopt.tree.PTree object at 0x1555284eed90>]",0,0,10,3,10
