nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
100,10,0.89,"[<ptreeopt.tree.PTree object at 0x155520f31370>
 <ptreeopt.tree.PTree object at 0x155520f313a0>
 <ptreeopt.tree.PTree object at 0x155528057130>
 <ptreeopt.tree.PTree object at 0x155528057e80>
 <ptreeopt.tree.PTree object at 0x155528057940>
 <ptreeopt.tree.PTree object at 0x155528057bb0>
 <ptreeopt.tree.PTree object at 0x155528057400>
 <ptreeopt.tree.PTree object at 0x155520fdc5b0>
 <ptreeopt.tree.PTree object at 0x155520fdc940>
 <ptreeopt.tree.PTree object at 0x155520fdc460>]",3,0,30,10,3
200,25,0.79,"[<ptreeopt.tree.PTree object at 0x1555280f3280>
 <ptreeopt.tree.PTree object at 0x1555280f33d0>
 <ptreeopt.tree.PTree object at 0x1555280f3340>
 <ptreeopt.tree.PTree object at 0x1555280f3fa0>
 <ptreeopt.tree.PTree object at 0x1555280f3190>
 <ptreeopt.tree.PTree object at 0x155520e79310>
 <ptreeopt.tree.PTree object at 0x155520dd8280>
 <ptreeopt.tree.PTree object at 0x155520dd8340>
 <ptreeopt.tree.PTree object at 0x155520dd8b80>
 <ptreeopt.tree.PTree object at 0x1555281c5b20>]",3,0,30,10,3
300,37,0.79,"[<ptreeopt.tree.PTree object at 0x1555280f3280>
 <ptreeopt.tree.PTree object at 0x1555280f33d0>
 <ptreeopt.tree.PTree object at 0x1555280f3340>
 <ptreeopt.tree.PTree object at 0x1555280f3fa0>
 <ptreeopt.tree.PTree object at 0x1555280f3190>
 <ptreeopt.tree.PTree object at 0x155520e79310>
 <ptreeopt.tree.PTree object at 0x155520dd8280>
 <ptreeopt.tree.PTree object at 0x155520dd8340>
 <ptreeopt.tree.PTree object at 0x155520dd8b80>
 <ptreeopt.tree.PTree object at 0x1555281c5b20>]",3,0,30,10,3
400,50,0.77,"[<ptreeopt.tree.PTree object at 0x155520fef4f0>
 <ptreeopt.tree.PTree object at 0x155520e7c0a0>
 <ptreeopt.tree.PTree object at 0x155520e7c550>
 <ptreeopt.tree.PTree object at 0x155520fa4f70>
 <ptreeopt.tree.PTree object at 0x155528220790>
 <ptreeopt.tree.PTree object at 0x1555282200a0>
 <ptreeopt.tree.PTree object at 0x155520e9ea30>
 <ptreeopt.tree.PTree object at 0x155520e9efd0>
 <ptreeopt.tree.PTree object at 0x155520e9e8b0>
 <ptreeopt.tree.PTree object at 0x15552804b610>]",3,0,30,10,3
500,64,0.77,"[<ptreeopt.tree.PTree object at 0x155520fef4f0>
 <ptreeopt.tree.PTree object at 0x155520e7c0a0>
 <ptreeopt.tree.PTree object at 0x155520e7c550>
 <ptreeopt.tree.PTree object at 0x155520fa4f70>
 <ptreeopt.tree.PTree object at 0x155528220790>
 <ptreeopt.tree.PTree object at 0x1555282200a0>
 <ptreeopt.tree.PTree object at 0x155520e9ea30>
 <ptreeopt.tree.PTree object at 0x155520e9efd0>
 <ptreeopt.tree.PTree object at 0x155520e9e8b0>
 <ptreeopt.tree.PTree object at 0x15552804b610>]",3,0,30,10,3
600,78,0.77,"[<ptreeopt.tree.PTree object at 0x155520fef4f0>
 <ptreeopt.tree.PTree object at 0x155520e7c0a0>
 <ptreeopt.tree.PTree object at 0x155520e7c550>
 <ptreeopt.tree.PTree object at 0x155520fa4f70>
 <ptreeopt.tree.PTree object at 0x155528220790>
 <ptreeopt.tree.PTree object at 0x1555282200a0>
 <ptreeopt.tree.PTree object at 0x155520e9ea30>
 <ptreeopt.tree.PTree object at 0x155520e9efd0>
 <ptreeopt.tree.PTree object at 0x155520e9e8b0>
 <ptreeopt.tree.PTree object at 0x15552804b610>]",3,0,30,10,3
700,91,0.77,"[<ptreeopt.tree.PTree object at 0x155520fef4f0>
 <ptreeopt.tree.PTree object at 0x155520e7c0a0>
 <ptreeopt.tree.PTree object at 0x155520e7c550>
 <ptreeopt.tree.PTree object at 0x155520fa4f70>
 <ptreeopt.tree.PTree object at 0x155528220790>
 <ptreeopt.tree.PTree object at 0x1555282200a0>
 <ptreeopt.tree.PTree object at 0x155520e9ea30>
 <ptreeopt.tree.PTree object at 0x155520e9efd0>
 <ptreeopt.tree.PTree object at 0x155520e9e8b0>
 <ptreeopt.tree.PTree object at 0x15552804b610>]",3,0,30,10,3
800,104,0.77,"[<ptreeopt.tree.PTree object at 0x155520fef4f0>
 <ptreeopt.tree.PTree object at 0x155520e7c0a0>
 <ptreeopt.tree.PTree object at 0x155520e7c550>
 <ptreeopt.tree.PTree object at 0x155520fa4f70>
 <ptreeopt.tree.PTree object at 0x155528220790>
 <ptreeopt.tree.PTree object at 0x1555282200a0>
 <ptreeopt.tree.PTree object at 0x155520e9ea30>
 <ptreeopt.tree.PTree object at 0x155520e9efd0>
 <ptreeopt.tree.PTree object at 0x155520e9e8b0>
 <ptreeopt.tree.PTree object at 0x15552804b610>]",3,0,30,10,3
900,116,0.77,"[<ptreeopt.tree.PTree object at 0x155520fef4f0>
 <ptreeopt.tree.PTree object at 0x155520e7c0a0>
 <ptreeopt.tree.PTree object at 0x155520e7c550>
 <ptreeopt.tree.PTree object at 0x155520fa4f70>
 <ptreeopt.tree.PTree object at 0x155528220790>
 <ptreeopt.tree.PTree object at 0x1555282200a0>
 <ptreeopt.tree.PTree object at 0x155520e9ea30>
 <ptreeopt.tree.PTree object at 0x155520e9efd0>
 <ptreeopt.tree.PTree object at 0x155520e9e8b0>
 <ptreeopt.tree.PTree object at 0x15552804b610>]",3,0,30,10,3
1000,130,0.75,"[<ptreeopt.tree.PTree object at 0x155520feb2b0>
 <ptreeopt.tree.PTree object at 0x155520e793a0>
 <ptreeopt.tree.PTree object at 0x155528246070>
 <ptreeopt.tree.PTree object at 0x1555282462b0>
 <ptreeopt.tree.PTree object at 0x1555282467f0>
 <ptreeopt.tree.PTree object at 0x155528246d90>
 <ptreeopt.tree.PTree object at 0x155528246dc0>
 <ptreeopt.tree.PTree object at 0x155520e9e490>
 <ptreeopt.tree.PTree object at 0x155520e9ef40>
 <ptreeopt.tree.PTree object at 0x155520e9e0a0>]",3,0,30,10,3
