n_realizations,num_units,num_sensors,instance,pct_intercepted
100.0,3.0,10.0,0.0,0.58
100.0,3.0,10.0,1.0,0.59
100.0,3.0,10.0,2.0,0.64
100.0,3.0,10.0,3.0,0.7
100.0,3.0,10.0,4.0,0.56
100.0,3.0,10.0,5.0,0.62
100.0,3.0,10.0,6.0,0.68
