n_realizations,num_units,num_sensors,instance,pct_intercepted
100.0,10.0,3.0,5.0,0.94
100.0,10.0,3.0,6.0,0.98
100.0,10.0,3.0,7.0,1.0
100.0,10.0,3.0,8.0,0.85
