n_realizations,num_units,num_sensors,instance,pct_intercepted
100.0,10.0,10.0,0.0,0.9
100.0,10.0,10.0,1.0,0.96
100.0,10.0,10.0,2.0,0.98
100.0,10.0,10.0,3.0,1.0
100.0,10.0,10.0,4.0,0.93
100.0,10.0,10.0,5.0,0.96
100.0,10.0,10.0,6.0,1.0
