n_realizations,num_units,num_sensors,instance,pct_intercepted
100.0,3.0,10.0,0.0,0.67
100.0,3.0,10.0,1.0,0.61
100.0,3.0,10.0,2.0,0.63
100.0,3.0,10.0,3.0,0.16
100.0,3.0,10.0,4.0,0.48
