manhattan_diameter,n_realizations,num_units,num_sensors,instance,pct_intercepted
10.0,100.0,3.0,10.0,0.0,0.84
10.0,100.0,3.0,10.0,1.0,0.79
10.0,100.0,3.0,10.0,2.0,0.83
10.0,100.0,3.0,10.0,3.0,0.73
10.0,100.0,3.0,10.0,4.0,0.75
10.0,100.0,3.0,10.0,5.0,0.59
10.0,100.0,3.0,10.0,6.0,0.76
10.0,100.0,3.0,10.0,7.0,0.66
10.0,100.0,3.0,10.0,8.0,0.74
10.0,100.0,3.0,10.0,9.0,0.6
