manhattan_diameter,n_realizations,num_units,num_sensors,instance,pct_intercepted
10.0,100.0,10.0,10.0,0.0,0.93
10.0,100.0,10.0,10.0,1.0,0.91
10.0,100.0,10.0,10.0,2.0,0.94
10.0,100.0,10.0,10.0,3.0,0.88
10.0,100.0,10.0,10.0,4.0,0.87
10.0,100.0,10.0,10.0,5.0,0.91
10.0,100.0,10.0,10.0,6.0,0.91
10.0,100.0,10.0,10.0,7.0,0.74
10.0,100.0,10.0,10.0,8.0,0.95
10.0,100.0,10.0,10.0,9.0,0.83
